productURL,productImageURL,itemName,productCode,barCode,commodityCode,packSize,rrp,unitPrice,packPrice
https://www.nda-toys.com/product/1941/bubble-tubs-bubble-magic-with-wand-50ml-wholesale,https://www.nda-toys.com/images/wholesale/bubble-tubs-bubble-magic-with-wand-50ml-wholesale-64733.jpg,BUBBLE TUBS BUBBLE MAGIC WITH WAND 50ML,R00589,5026619005897,9503009990,24,0.29,0.13,3.12
https://www.nda-toys.com/product/7129/hot-wheels-basic-car-assortment-wholesale,https://www.nda-toys.com/images/wholesale/hot-wheels-basic-car-assortment-wholesale-32809.jpg,HOT WHEELS BASIC CAR ASSORTMENT,5785,074299057854,9503008500,72,1.79,1.08,77.76
https://www.nda-toys.com/product/13575/spiderman-3-12in-titan-hero-spy-wholesale,https://www.nda-toys.com/images/wholesale/spiderman-3-12in-titan-hero-spy-wholesale-70109.jpg,SPIDERMAN 3 12IN TITAN HERO SPY,F1931,5010993826230,9503002190,4,4.99,8.48,33.92
https://www.nda-toys.com/product/13647/peppa-pig-school-playgroup-playset-wholesale,https://www.nda-toys.com/images/wholesale/peppa-pig-school-playgroup-playset-wholesale-69563.jpg,PEPPA PIG SCHOOL PLAYGROUP PLAYSET,F2166,5010993846689,9503007000,3,2.99,24.97,74.91
https://www.nda-toys.com/product/12663/transformers-gen-red-g1-starscream-wholesale,https://www.nda-toys.com/images/wholesale/transformers-gen-red-g1-starscream-wholesale-62223.jpg,TRANSFORMERS GEN RED G1 STARSCREAM,F0740,5010993788996,9503004990,6,2.99,13.08,78.48
https://www.nda-toys.com/product/13407/marvel-legends-retro-asst-wholesale,https://www.nda-toys.com/images/wholesale/marvel-legends-retro-asst-wholesale-70711.jpg,MARVEL LEGENDS RETRO ASST,F2648,5010993842766,9503002190,8,1.99,6.54,52.32
https://www.nda-toys.com/product/13751/marvel-basic-plush-asst-wholesale,https://www.nda-toys.com/images/wholesale/marvel-basic-plush-asst-wholesale-70575.jpg,MARVEL BASIC PLUSH ASST,GYT40,0887961979244,9503004100,6,0.99,6.42,38.52
https://www.nda-toys.com/product/13222/mega-bloks-paw-patrol---chases-city-police-cruiser-wholesale,https://www.nda-toys.com/images/wholesale/mega-bloks-paw-patrol---chases-city-police-cruiser-wholesale-66815.jpg,MEGA BLOKS PAW PATROL - CHASES CITY POLICE CRUISER,GYJ00,887961972603,9503003500,4,7.99,11.23,44.92
https://www.nda-toys.com/product/13651/peppa-pig-day-trip-asst-wholesale,https://www.nda-toys.com/images/wholesale/peppa-pig-day-trip-asst-wholesale-69635.jpg,PEPPA PIG DAY TRIP ASST,F2168,5010993849642,9503007000,3,6.99,9.52,28.56
https://www.nda-toys.com/product/3867/schleich-zebra-female-wholesale,https://www.nda-toys.com/images/wholesale/schleich-zebra-female-wholesale-16533.jpg,SCHLEICH ZEBRA FEMALE,14810,4055744020780,9503004990,5,6.99,3.45,17.25
https://www.nda-toys.com/product/4420/disney-princess-belle-styling-head-wholesale,https://www.nda-toys.com/images/wholesale/disney-princess-belle-styling-head-wholesale-19549.jpg,DISNEY PRINCESS BELLE STYLING HEAD,JPL87375,886144873782,9503007000,6,8.99,10.79,64.74
https://www.nda-toys.com/product/10705/national-geographic-mini-dig-kit-asst-wholesale,https://www.nda-toys.com/images/wholesale/national-geographic-mini-dig-kit-asst-wholesale-67911.jpg,NATIONAL GEOGRAPHIC MINI DIG KIT ASST,JM00618,0851456006180,9601900000,6,4.79,2.67,16.02
https://www.nda-toys.com/product/3480/ball-mesh-squeeze-7.5cm-4-asst-cols-wholesale,https://www.nda-toys.com/images/wholesale/ball-mesh-squeeze-7.5cm-4-asst-cols-wholesale-15147.jpg,BALL MESH SQUEEZE 7.5CM 4 ASST COLS,N51403,5026619514030,9506699000,12,1.79,0.78,9.36
https://www.nda-toys.com/product/11627/nerf-rival-sideswipe-xxi-1200-wholesale,https://www.nda-toys.com/images/wholesale/nerf-rival-sideswipe-xxi-1200-wholesale-59625.jpg,NERF RIVAL SIDESWIPE XXI 1200,F0379,5010993803675,9503008190,4,0.99,17.83,71.32
https://www.nda-toys.com/product/1496/monopoly-grab-and-go-wholesale,https://www.nda-toys.com/images/wholesale/monopoly-grab-and-go-wholesale-1303.jpg,MONOPOLY GRAB AND GO,B1002,5010994863784,9504908000,6,6.99,4.06,24.36
https://www.nda-toys.com/product/12903/avengers-mad-titan-thanos-wholesale,https://www.nda-toys.com/images/wholesale/avengers-mad-titan-thanos-wholesale-64891.jpg,AVENGERS MAD TITAN THANOS,F0264,5010993875450,9503007000,3,4.99,20.22,60.66
https://www.nda-toys.com/product/13639/peppa-pig-fun-friends-figures-asst-wholesale,https://www.nda-toys.com/images/wholesale/peppa-pig-fun-friends-figures-asst-wholesale-69845.jpg,PEPPA PIG FUN FRIENDS FIGURES ASST,F2179,5010993837595,9503004990,8,4.79,2.67,21.36
https://www.nda-toys.com/product/13777/dc-multiverse-vehicles---white-knight-batcycle-wholesale,https://www.nda-toys.com/images/wholesale/dc-multiverse-vehicles---white-knight-batcycle-wholesale-70819.jpg,DC MULTIVERSE VEHICLES - WHITE KNIGHT BATCYCLE,15703,0787926157031,9503009590,2,5.99,14.99,29.98
https://www.nda-toys.com/product/12516/disney-princess-water-ballet-ast-wholesale,https://www.nda-toys.com/images/wholesale/disney-princess-water-ballet-ast-wholesale-63247.jpg,DISNEY PRINCESS WATER BALLET AST,E9849,5010993732173,9503002190,4,0.99,6.11,24.44
https://www.nda-toys.com/product/8767/the-lion-king-classic-deluxe-figure-set-wholesale,https://www.nda-toys.com/images/wholesale/the-lion-king-classic-deluxe-figure-set-wholesale-42671.jpg,THE LION KING CLASSIC DELUXE FIGURE SET,LNN08000,N/A,9503004990,4,8.99,22.08,88.32
https://www.nda-toys.com/product/12983/nerf-fortnite-smg-zesty-wholesale,https://www.nda-toys.com/images/wholesale/nerf-fortnite-smg-zesty-wholesale-66301.jpg,NERF FORTNITE SMG ZESTY,F0319,5010993842094,9503008190,4,7.99,22.00,88.00
https://www.nda-toys.com/product/10835/nerf-elite-2.0-echo-cs-10-wholesale,https://www.nda-toys.com/images/wholesale/nerf-elite-2.0-echo-cs-10-wholesale-55001.jpg,NERF ELITE 2.0 ECHO CS 10,E9533,05010993729180,9503008190,4,8.99,22.87,91.48
https://www.nda-toys.com/product/5710/peppa-pigs-classroom-wholesale,https://www.nda-toys.com/images/wholesale/peppa-pigs-classroom-wholesale-24201.jpg,PEPPA PIGS CLASSROOM,05033,5029736050337,9503004990,8,2.99,8.41,67.28
https://www.nda-toys.com/product/11689/cocomelon-musical-tractor-wholesale,https://www.nda-toys.com/images/wholesale/cocomelon-musical-tractor-wholesale-59817.jpg,COCOMELON MUSICAL TRACTOR,WT0038,3701405802295,9503007000,4,3.99,13.79,55.16
https://www.nda-toys.com/product/12431/star-wars-galaxys-edge-creature-plush-asst-wholesale,https://www.nda-toys.com/images/wholesale/star-wars-galaxys-edge-creature-plush-asst-wholesale-63817.jpg,STAR WARS GALAXYS EDGE CREATURE PLUSH ASST,GXH79,0887961957310,9503004100,6,9.49,5.87,35.22
https://www.nda-toys.com/product/11427/nerf-elite-2.0-refill-50-wholesale,https://www.nda-toys.com/images/wholesale/nerf-elite-2.0-refill-50-wholesale-57267.jpg,NERF ELITE 2.0 REFILL 50,E9484,5010993747580,9503008190,6,8.49,4.75,28.50
https://www.nda-toys.com/product/13221/mega-bloks-paw-patrol---rubbles-city-construction-wholesale,https://www.nda-toys.com/images/wholesale/mega-bloks-paw-patrol---rubbles-city-construction-wholesale-66829.jpg,MEGA BLOKS PAW PATROL - RUBBLES CITY CONSTRUCTION,GYW91,887961981810,9503003500,5,3.99,8.44,42.20
https://www.nda-toys.com/product/9880/mr-splat!-wholesale,https://www.nda-toys.com/images/wholesale/mr-splat!-wholesale-48579.jpg,MR SPLAT!,1374894,5050837489412,9503009590,12,2.99,1.44,17.28
https://www.nda-toys.com/product/3864/schleich-killer-whale-wholesale,https://www.nda-toys.com/images/wholesale/schleich-killer-whale-wholesale-16527.jpg,SCHLEICH KILLER WHALE,14807,4055744020759,9503004990,1,7.49,3.63,3.63
https://www.nda-toys.com/product/3310/trivial-pursuit-classic-wholesale,https://www.nda-toys.com/images/wholesale/trivial-pursuit-classic-wholesale-14441.jpg,TRIVIAL PURSUIT CLASSIC,C1940,5010993389605,9504908000,4,8.99,16.85,67.40
https://www.nda-toys.com/product/6458/peppa-pig-peppas-camping-trip-wholesale,https://www.nda-toys.com/images/wholesale/peppa-pig-peppas-camping-trip-wholesale-29743.jpg,PEPPA PIG PEPPAS CAMPING TRIP,06922,5029736069223,9503007000,4,9.99,19.29,77.16
https://www.nda-toys.com/product/9302/in-the-night-garden-snuggly-singing-makka-pakka-wholesale,https://www.nda-toys.com/images/wholesale/in-the-night-garden-snuggly-singing-makka-pakka-wholesale-46123.jpg,IN THE NIGHT GARDEN SNUGGLY SINGING MAKKA PAKKA,1667,5013197166706,9503004100,6,6.99,9.69,58.14
https://www.nda-toys.com/product/13298/spidey-amazing-friends-spidey-web-slinger-wholesale,https://www.nda-toys.com/images/wholesale/spiderman-amazing-friends-spidey-web-slinger-wholesale-67477.jpg,SPIDEY AMAZING FRIENDS SPIDEY WEB SLINGER,F1464,5010993853977,9503007000,4,9.99,11.29,45.16
https://www.nda-toys.com/product/12430/star-wars-basic-plush-asst-wholesale,https://www.nda-toys.com/images/wholesale/star-wars-basic-plush-asst-wholesale-63813.jpg,STAR WARS BASIC PLUSH ASST,GXB23,0887961951912,9503004100,6,0.99,6.42,38.52
https://www.nda-toys.com/product/3910/schleich-horse-club-sarahs-baby-animal-care--wholesale,https://www.nda-toys.com/images/wholesale/schleich-horse-club-sarahs-baby-animal-care--wholesale-16641.jpg,SCHLEICH HORSE CLUB SARAHS BABY ANIMAL CARE,42432,4055744021824,9503007000,3,0.99,10.30,30.90
https://www.nda-toys.com/product/7249/barbie-fashionistas-asst-wholesale,https://www.nda-toys.com/images/wholesale/barbie-fashionistas-asst-wholesale-32883.jpg,BARBIE FASHIONISTAS ASST,FBR37,887961855333,9503002190,6,2.99,8.19,49.14
https://www.nda-toys.com/product/13230/peppa-pig-eco-plush-asst-wholesale,https://www.nda-toys.com/images/wholesale/peppa-pig-eco-plush-asst-wholesale-67297.jpg,PEPPA PIG ECO PLUSH ASST,07381,5029736073817,9503004100,6,9.99,6.43,38.58
https://www.nda-toys.com/product/10612/sha-black-panther-road-racer-wholesale,https://www.nda-toys.com/images/wholesale/sha-black-panther-road-racer-wholesale-51749.jpg,SHA BLACK PANTHER ROAD RACER,E6256,5010993603978,9503007000,2,4.99,14.26,28.52
https://www.nda-toys.com/product/13793/fun-snaps-wholesale,https://www.nda-toys.com/images/wholesale/fun-snaps-wholesale-71121.jpg,FUN SNAPS,X39050,5050203390502,3604900000,50,0.29,0.13,6.50
https://www.nda-toys.com/product/7244/barbie-chelsea-assortment-a-wholesale,https://www.nda-toys.com/images/wholesale/barbie-chelsea-assortment-a-wholesale-32845.jpg,BARBIE CHELSEA ASSORTMENT A,DWJ33,887961628142,9503002190,10,6.99,4.21,42.10
https://www.nda-toys.com/product/7120/hot-wheels-monster-trucks-1:64-assortment-wholesale,https://www.nda-toys.com/images/wholesale/hot-wheels-monster-trucks-1:64-assortment-wholesale-35397.jpg,HOT WHEELS MONSTER TRUCKS 1:64 ASSORTMENT,FYJ44,887961705393,9503009590,8,4.49,2.86,22.88
https://www.nda-toys.com/product/7381/mega-bloks-abc-learning-train-wholesale,https://www.nda-toys.com/images/wholesale/mega-bloks-abc-learning-train-wholesale-34021.jpg,MEGA BLOKS ABC LEARNING TRAIN,DXH35,0887961397123,9503003500,2,0.99,6.75,13.50
https://www.nda-toys.com/product/13271/nerf-elite-2.0-flip-32-wholesale,https://www.nda-toys.com/images/wholesale/nerf-elite-2.0-flip-32-wholesale-67693.jpg,NERF ELITE 2.0 FLIP 32,F2553,5010993877430,9503008190,3,0.99,35.66,106.98
https://www.nda-toys.com/product/2889/monopoly-wholesale,https://www.nda-toys.com/images/wholesale/monopoly-wholesale-32785.jpg,MONOPOLY,C1009,5010993411528,9504908000,6,4.99,14.26,85.56
https://www.nda-toys.com/product/10843/nerf-elite-2.0-shockwave-rd-15-wholesale,https://www.nda-toys.com/images/wholesale/nerf-elite-2.0-shockwave-rd-15-wholesale-53951.jpg,NERF ELITE 2.0 SHOCKWAVE RD 15,E9527,05010993732272,9503008190,3,8.99,16.64,49.92
https://www.nda-toys.com/product/4378/mr-frosty-the-crunchy-ice-maker-wholesale,https://www.nda-toys.com/images/wholesale/mr-frosty-the-crunchy-ice-maker-wholesale-19041.jpg,MR FROSTY THE CRUNCHY ICE MAKER,F9LL5200,5053208019119,9503007000,6,1.99,11.99,71.94
https://www.nda-toys.com/product/8769/the-lion-king-classic-pride-land-playset-wholesale,https://www.nda-toys.com/images/wholesale/the-lion-king-classic-pride-land-playset-wholesale-42333.jpg,THE LION KING CLASSIC PRIDE LAND PLAYSET,LNN07000,N/A,9503007000,2,2.99,23.98,47.96
https://www.nda-toys.com/product/13003/spidey-amazing-friends-figure-asst-wholesale,https://www.nda-toys.com/images/wholesale/spidey-and-his-amazing-friends-hero-figure-ast-wholesale-66109.jpg,SPIDEY AMAZING FRIENDS FIGURE ASST,F1462,5010993854219,9503007000,8,6.49,3.57,28.56
https://www.nda-toys.com/product/11343/imaginext-jurassic-world-xl-raptor-wholesale,https://www.nda-toys.com/images/wholesale/fisher-price-imx-jw-raptor-blue-xl-wholesale-58631.jpg,IMAGINEXT JURASSIC WORLD XL RAPTOR,GWP07,0887961944617,9503004990,2,9.99,6.35,12.70
https://www.nda-toys.com/product/13630/disney-princess-royal-shimmer-ast-b-wholesale,https://www.nda-toys.com/images/wholesale/disney-princess-royal-shimmer-ast-b-wholesale-69751.jpg,DISNEY PRINCESS ROYAL SHIMMER AST B,F0882,5010993785971,9503002190,6,0.99,6.11,36.66
https://www.nda-toys.com/product/13778/dc-collector-multipack---green-lantern-vs-dawnbreaker-wholesale,https://www.nda-toys.com/images/wholesale/dc-collector-multipack---green-lantern-vs-dawnbreaker-wholesale-70811.jpg,DC COLLECTOR MULTIPACK - GREEN LANTERN VS DAWNBREAKER,15454,0787926154542,9503002190,2,1.99,23.99,47.98
https://www.nda-toys.com/product/13223/mega-bloks-paw-patrol---marshalls-city-fire-rescue-wholesale,https://www.nda-toys.com/images/wholesale/mega-bloks-paw-patrol---marshalls-city-fire-rescue-wholesale-66821.jpg,MEGA BLOKS PAW PATROL - MARSHALLS CITY FIRE RESCUE,GYJ01,887961972610,9503003500,3,2.99,14.07,42.21
https://www.nda-toys.com/product/11439/play-doh-sand-variety-pack-wholesale,https://www.nda-toys.com/images/wholesale/play-doh-sand-variety-pack-wholesale-57301.jpg,PLAY-DOH SAND VARIETY PACK,F0103,5010993776986,9505900000,6,3.99,7.73,46.38
https://www.nda-toys.com/product/11552/schleich-warthog-wholesale,https://www.nda-toys.com/images/wholesale/schleich-warthog-wholesale-58781.jpg,SCHLEICH WARTHOG,14843,4059433327068,9503004990,5,4.99,2.45,12.25
https://www.nda-toys.com/product/1142/magic-rainbow-spring-wholesale,https://www.nda-toys.com/images/wholesale/magic-rainbow-spring-wholesale-7761.jpg,MAGIC RAINBOW SPRING,1373299,5050837329916,9503009590,24,1.29,0.63,15.12
https://www.nda-toys.com/product/2018/sticky-creatures-wholesale,https://www.nda-toys.com/images/wholesale/sticky-creatures-wholesale-22755.jpg,STICKY CREATURES,T51225,5026619512258,9503004990,60,0.29,0.15,9.00
https://www.nda-toys.com/product/6314/icky-sticky-squishy-orbs-banana-wholesale,https://www.nda-toys.com/images/wholesale/icky-sticky-squishy-orbs-banana-wholesale-28375.jpg,ICKY STICKY SQUISHY ORBS BANANA,N51492,5026619514924,9503004990,12,1.49,0.65,7.80
https://www.nda-toys.com/product/5551/mesh-ball-with-beads-wholesale,https://www.nda-toys.com/images/wholesale/mesh-ball-with-beads-wholesale-24929.jpg,MESH BALL WITH BEADS,N51501,5026619515013,9506699000,12,1.79,0.78,9.36
https://www.nda-toys.com/product/4236/dino-world-dino-blinkers-wholesale,https://www.nda-toys.com/images/wholesale/dino-world-dino-blinkers-wholesale-18705.jpeg,DINO WORLD DINO BLINKERS,1374145,5050837414513,9503009590,12,1.99,0.89,10.68
https://www.nda-toys.com/product/11332/fisher-price-eco-rock-a-stack-wholesale,https://www.nda-toys.com/images/wholesale/fisher-price-eco-rock-a-stack-wholesale-58193.jpg,FISHER PRICE ECO ROCK-A-STACK,GRF09,0887961902242,9503009590,2,8.49,5.29,10.58
https://www.nda-toys.com/product/12931/nerf-fortnite-6-sh-wholesale,https://www.nda-toys.com/images/wholesale/nerf-fortnite-6-sh-wholesale-64805.jpg,NERF FORTNITE 6-SH,F2678,5010993878666,9503008190,4,5.99,14.86,59.44
https://www.nda-toys.com/product/12563/nerf-stegosmash-wholesale,https://www.nda-toys.com/images/wholesale/nerf-stegosmash-wholesale-63069.jpg,NERF STEGOSMASH,F0805,5010993800186,9503008190,6,3.99,7.73,46.38
https://www.nda-toys.com/product/13607/transformers-generations-wfc-k-deluxe-shadow-panther-wholesale,https://www.nda-toys.com/images/wholesale/transformers-generations-wfc-k-deluxe-shadow-panther-wholesale-71131.jpg,TRANSFORMERS GENERATIONS WFC K DELUXE SHADOW PANTHER,F0681,5010993782215,9503004990,8,9.99,11.30,90.40
